Name,Team,Position,Ownership,Start,Price,Fixture,AnytimeAssist,AnytimeGoal,AnytimeReturn,Reserve
Elliott,Liverpool,MID,1%,80%,£5.0m,Everton (a),20%,20%,36%,N
Neto,Wolves,MID,7%,80%,£5.2m,Southampton (H),16%,23%,36%,N
Gundogan,Man City,MID,6%,50%,£7.6m,Aston Villa (a),16%,23%,36%,N
Hwang,Wolves,MID,0%,20%,£5.8m,Southampton (H),12%,27%,36%,N
Martinelli,Arsenal,MID,44%,90%,£6.4m,Man Utd (a),14%,24%,35%,N
Odegaard,Arsenal,MID,18%,70%,£6.6m,Man Utd (a),20%,19%,35%,N
Zaha,Crystal Palace,MID,12%,70%,£7.2m,Newcastle (a),13%,25%,35%,N
Gelhardt,Leeds,FWD,0%,30%,£5.3m,Brentford (a),13%,25%,35%,N
Gnonto,Leeds,FWD,0%,10%,£5.0m,Brentford (a),13%,25%,35%,N
Rashford,Man Utd,MID,7%,80%,£6.3m,Arsenal (H),13%,25%,35%,N
Perisic,Spurs,DEF,29%,30%,£5.6m,Fulham (H),18%,20%,35%,N
Sancho,Man Utd,MID,6%,80%,£7.3m,Arsenal (H),20%,18%,34%,N
Alexander-Arnold,Liverpool,DEF,49%,90%,£7.5m,Everton (a),26%,10%,34%,N
Gibbs-White,Nott'm Forest,MID,0%,70%,£5.5m,Bournemouth (H),16%,21%,34%,N
Adama,Wolves,MID,0%,20%,£5.5m,Southampton (H),18%,19%,34%,N
Solanke,Bournemouth,FWD,0%,80%,£5.7m,Nott'm Forest (a),9%,27%,33%,N
Damsgaard,Brentford,MID,0%,20%,£5.4m,Leeds (H),16%,20%,33%,N
Mitoma,Brighton,MID,0%,20%,£5.0m,Leicester (H),16%,20%,33%,N
Edouard,Crystal Palace,FWD,2%,60%,£5.4m,Newcastle (a),10%,25%,33%,N
Joelinton,Newcastle,MID,1%,90%,£6.0m,Crystal Palace (H),10%,25%,33%,N
Lingard,Nott'm Forest,MID,3%,70%,£5.8m,Bournemouth (H),13%,22%,32%,N
R.Sessegnon,Spurs,DEF,1%,70%,£4.5m,Fulham (H),22%,13%,32%,N
Eriksen,Man Utd,MID,3%,80%,£6.3m,Arsenal (H),20%,16%,32%,N
Mara,Southampton,FWD,0%,50%,£5.5m,Wolves (a),11%,24%,32%,N
Mac Allister,Brighton,MID,1%,90%,£5.5m,Leicester (H),9%,24%,32%,N
Smith Rowe,Arsenal,MID,1%,40%,£5.7m,Man Utd (a),12%,22%,32%,N
Daka,Leicester,FWD,1%,20%,£5.7m,Brighton (a),10%,24%,31%,N
Ward-Prowse,Southampton,MID,9%,90%,£6.5m,Wolves (a),14%,20%,31%,N
Fraser,Newcastle,MID,0%,50%,£5.3m,Crystal Palace (H),17%,17%,31%,N
Iheanacho,Leicester,FWD,1%,30%,£6.2m,Brighton (a),10%,23%,31%,N
Sinisterra,Leeds,MID,1%,90%,£6.5m,Brentford (a),12%,20%,30%,N
Aaronson,Leeds,MID,2%,90%,£5.5m,Brentford (a),16%,15%,29%,N
Barnes,Leicester,MID,1%,80%,£6.9m,Brighton (a),14%,17%,29%,N
James,Chelsea,DEF,37%,70%,£6.1m,West Ham (H),20%,11%,29%,N
Bowen,West Ham,MID,3%,80%,£8.2m,Chelsea (a),13%,18%,29%,N
Moore,Bournemouth,FWD,1%,50%,£5.5m,Nott'm Forest (a),9%,21%,29%,N
Antonio,West Ham,FWD,2%,80%,£7.2m,Chelsea (a),11%,20%,29%,N
Mateta,Crystal Palace,FWD,1%,70%,£5.4m,Newcastle (a),8%,22%,28%,N
Scamacca,West Ham,FWD,1%,20%,£6.8m,Chelsea (a),9%,21%,28%,N
Robertson,Liverpool,DEF,7%,90%,£6.8m,Everton (a),22%,7%,28%,N
Coutinho,Aston Villa,MID,4%,60%,£6.7m,Man City (H),16%,14%,28%,N
Murphy,Newcastle,MID,4%,10%,£4.4m,Crystal Palace (H),16%,14%,28%,N
Lewis-Potter,Brentford,MID,0%,20%,£5.3m,Leeds (H),0%,28%,28%,N
Harrison,Leeds,MID,6%,90%,£6.1m,Brentford (a),13%,17%,28%,N
Ings,Aston Villa,FWD,1%,60%,£6.8m,Man City (H),9%,20%,28%,N
Mwepu,Brighton,MID,0%,40%,£5.3m,Leicester (H),16%,13%,27%,N
Cancelo,Man City,DEF,47%,90%,£7.1m,Aston Villa (a),21%,8%,27%,N
Christie,Bournemouth,MID,0%,70%,£5.4m,Nott'm Forest (a),17%,13%,27%,N
A.Armstrong,Southampton,FWD,1%,70%,£5.5m,Wolves (a),9%,20%,27%,N
Fabio Vieira,Arsenal,MID,0%,10%,£5.7m,Man Utd (a),11%,18%,27%,N
Lowe,Bournemouth,MID,0%,10%,£5.3m,Nott'm Forest (a),11%,18%,27%,N
Watkins,Aston Villa,FWD,3%,80%,£7.4m,Man City (H),9%,20%,27%,N
Maddison,Leicester,MID,3%,80%,£7.9m,Brighton (a),12%,17%,27%,N
Benrahma,West Ham,MID,1%,50%,£5.8m,Chelsea (a),14%,14%,27%,N
Tavernier,Bournemouth,MID,0%,80%,£4.9m,Nott'm Forest (a),16%,13%,27%,N
Maupay,Everton,FWD,1%,30%,£6.2m,Liverpool (H),7%,21%,27%,N
Elanga,Man Utd,MID,1%,60%,£4.9m,Arsenal (H),12%,17%,27%,N
Willian,Fulham,MID,0%,30%,£5.5m,Spurs (a),13%,15%,26%,N
Bruno Guimaraes,Newcastle,MID,3%,50%,£5.7m,Crystal Palace (H),14%,13%,26%,N
Elyounoussi,Southampton,MID,0%,80%,£5.4m,Wolves (a),11%,17%,26%,N
March,Brighton,MID,0%,90%,£5.0m,Leicester (H),17%,10%,26%,N
De Cordova-Reid,Fulham,MID,0%,90%,£5.5m,Spurs (a),13%,14%,26%,N
Jorginho,Chelsea,MID,4%,80%,£6.0m,West Ham (H),0%,25%,25%,N
Buendia,Aston Villa,MID,0%,50%,£5.9m,Man City (H),14%,13%,25%,N
Billing,Bournemouth,MID,0%,70%,£5.3m,Nott'm Forest (a),10%,17%,25%,N
Sarmiento,Brighton,MID,0%,10%,£4.5m,Leicester (H),14%,13%,25%,N
Andreas,Fulham,MID,25%,90%,£4.6m,Spurs (a),13%,13%,25%,N
Olise,Crystal Palace,MID,0%,60%,£5.5m,Newcastle (a),14%,11%,24%,N
Gordon,Everton,MID,2%,90%,£5.5m,Liverpool (H),9%,16%,24%,N
Neves,Wolves,MID,2%,90%,£5.5m,Southampton (H),9%,17%,24%,N
Aribo,Southampton,MID,1%,80%,£5.5m,Wolves (a),7%,18%,24%,N
Milner,Liverpool,MID,1%,50%,£4.5m,Everton (a),16%,9%,24%,N
Tsimikas,Liverpool,DEF,0%,10%,£4.5m,Everton (a),18%,7%,24%,N
Loftus-Cheek,Chelsea,MID,0%,40%,£5.0m,West Ham (H),14%,11%,24%,N
Eze,Crystal Palace,MID,3%,80%,£5.5m,Newcastle (a),11%,14%,24%,N
Kebano,Fulham,MID,0%,50%,£5.5m,Spurs (a),11%,14%,24%,N
Paqueta,West Ham,MID,1%,30%,£6.0m,Chelsea (a),11%,14%,24%,N
James,Fulham,MID,0%,20%,£6.0m,Spurs (a),12%,13%,24%,N
Ritchie,Newcastle,DEF,0%,10%,£4.4m,Crystal Palace (H),14%,11%,24%,N
Cornet,West Ham,MID,0%,20%,£5.9m,Chelsea (a),9%,15%,24%,N
Klich,Leeds,MID,0%,20%,£4.8m,Brentford (a),13%,12%,23%,N
Anthony,Bournemouth,MID,0%,30%,£5.3m,Nott'm Forest (a),12%,13%,23%,N
Rondon,Everton,FWD,1%,20%,£5.0m,Liverpool (H),7%,17%,23%,N
Almiron,Newcastle,MID,2%,80%,£5.0m,Crystal Palace (H),7%,17%,23%,N
Hojbjerg,Spurs,MID,2%,90%,£5.5m,Fulham (H),13%,11%,23%,N
McNeil,Everton,MID,0%,70%,£5.3m,Liverpool (H),13%,11%,23%,N
Matheus,Wolves,MID,0%,90%,£5.0m,Southampton (H),12%,12%,22%,N
Emerson Royal,Spurs,DEF,5%,70%,£5.1m,Fulham (H),14%,9%,22%,N
Trippier,Newcastle,DEF,28%,90%,£5.1m,Crystal Palace (H),16%,7%,22%,N
Bailey,Aston Villa,MID,6%,50%,£4.7m,Man City (H),11%,13%,22%,N
Marcondes,Bournemouth,MID,0%,10%,£4.8m,Nott'm Forest (a),9%,14%,22%,N
Tielemans,Leicester,MID,1%,70%,£6.4m,Brighton (a),9%,14%,22%,N
S.Armstrong,Southampton,MID,0%,50%,£4.9m,Wolves (a),9%,14%,22%,N
Phillips,Man City,MID,0%,10%,£4.9m,Aston Villa (a),16%,7%,22%,N
Chilwell,Chelsea,DEF,2%,60%,£5.8m,West Ham (H),14%,8%,22%,N
Kovacic,Chelsea,MID,0%,60%,£4.9m,West Ham (H),12%,11%,22%,N
Lanzini,West Ham,MID,0%,20%,£5.3m,Chelsea (a),11%,12%,22%,N
Ayew,Crystal Palace,MID,0%,60%,£5.5m,Newcastle (a),10%,13%,22%,N
Bentancur,Spurs,MID,0%,60%,£5.4m,Fulham (H),18%,4%,21%,N
Kristensen,Leeds,DEF,1%,90%,£4.9m,Brentford (a),16%,6%,21%,N
Gray,Everton,MID,1%,80%,£5.5m,Liverpool (H),9%,13%,21%,N
Cucurella,Chelsea,DEF,14%,60%,£5.2m,West Ham (H),17%,4%,21%,N
N.Williams,Nott'm Forest,DEF,28%,90%,£4.1m,Bournemouth (H),13%,9%,21%,N
Lamptey,Brighton,DEF,2%,30%,£4.4m,Leicester (H),16%,6%,21%,N
Henderson,Liverpool,MID,1%,40%,£5.4m,Everton (a),12%,10%,21%,N
Targett,Newcastle,DEF,1%,80%,£4.9m,Crystal Palace (H),17%,4%,21%,N
Cairney,Fulham,MID,0%,30%,£4.8m,Spurs (a),13%,9%,21%,N
Toffolo,Nott'm Forest,DEF,0%,20%,£4.5m,Bournemouth (H),13%,8%,20%,N
Gilmour,Brighton,MID,1%,10%,£4.4m,Leicester (H),10%,11%,20%,N
Fornals,West Ham,MID,1%,80%,£5.4m,Chelsea (a),9%,12%,20%,N
Baptiste,Brentford,MID,0%,50%,£4.5m,Leeds (H),11%,10%,20%,N
Doherty,Spurs,DEF,0%,10%,£4.6m,Fulham (H),11%,10%,20%,N
Dasilva,Brentford,MID,10%,60%,£4.6m,Leeds (H),6%,15%,20%,N
Willock,Newcastle,MID,1%,90%,£4.9m,Crystal Palace (H),9%,12%,20%,N
Caicedo,Brighton,MID,0%,90%,£5.0m,Leicester (H),9%,11%,20%,N
Spence,Spurs,DEF,0%,20%,£4.3m,Fulham (H),13%,7%,20%,N
Rodri,Man City,MID,2%,90%,£5.9m,Aston Villa (a),8%,13%,19%,N
Praet,Leicester,MID,0%,20%,£4.9m,Brighton (a),11%,9%,19%,N
Onyeka,Brentford,MID,0%,30%,£4.9m,Leeds (H),9%,11%,19%,N
Shaw,Man Utd,DEF,1%,20%,£4.7m,Arsenal (H),16%,3%,19%,N
McGinn,Aston Villa,MID,1%,80%,£5.3m,Man City (H),10%,9%,18%,N
Moutinho,Wolves,MID,1%,90%,£4.9m,Southampton (H),13%,6%,18%,N
O'Brien,Nott'm Forest,MID,0%,80%,£5.0m,Bournemouth (H),11%,8%,18%,N
Fred,Man Utd,MID,1%,30%,£5.2m,Arsenal (H),9%,10%,18%,N
S.Longstaff,Newcastle,MID,2%,70%,£4.4m,Crystal Palace (H),7%,11%,18%,N
Iwobi,Everton,MID,0%,90%,£5.5m,Liverpool (H),9%,9%,18%,N
Fabinho,Liverpool,MID,1%,90%,£5.4m,Everton (a),6%,12%,18%,N
Azpilicueta,Chelsea,DEF,2%,40%,£5.0m,West Ham (H),14%,3%,18%,N
Casemiro,Man Utd,MID,2%,60%,£5.0m,Arsenal (H),7%,11%,18%,N
Janelt,Brentford,MID,0%,80%,£5.5m,Leeds (H),7%,11%,17%,N
Schlupp,Crystal Palace,MID,0%,80%,£4.9m,Newcastle (a),9%,9%,17%,N
Albrighton,Leicester,MID,0%,10%,£4.9m,Brighton (a),12%,6%,17%,N
Dembele,Bournemouth,MID,0%,10%,£4.8m,Nott'm Forest (a),0%,17%,17%,N
Jonny,Wolves,DEF,1%,70%,£4.4m,Southampton (H),11%,7%,17%,N
Yates,Nott'm Forest,MID,0%,70%,£5.0m,Bournemouth (H),6%,11%,17%,N
Estupinan,Brighton,DEF,1%,80%,£4.5m,Leicester (H),11%,6%,17%,N
Ramsey,Aston Villa,MID,1%,80%,£5.2m,Man City (H),5%,12%,16%,N
Henry,Brentford,DEF,1%,90%,£4.5m,Leeds (H),9%,7%,16%,N
Tierney,Arsenal,DEF,1%,90%,£4.9m,Man Utd (a),13%,3%,16%,N
Freuler,Nott'm Forest,MID,0%,40%,£5.0m,Bournemouth (H),8%,9%,16%,N
Ait-Nouri,Wolves,DEF,1%,70%,£4.4m,Southampton (H),10%,6%,16%,N
Jensen,Brentford,MID,3%,80%,£5.1m,Leeds (H),8%,8%,16%,N
Renan Lodi,Nott'm Forest,DEF,0%,80%,£4.5m,Bournemouth (H),8%,8%,16%,N
Davies,Spurs,DEF,1%,90%,£5.0m,Fulham (H),12%,4%,15%,N
Garner,Everton,MID,0%,10%,£4.5m,Liverpool (H),9%,7%,15%,N
Roca,Leeds,MID,0%,80%,£4.9m,Brentford (a),9%,6%,15%,N
Lewis,Man City,DEF,0%,10%,£4.0m,Aston Villa (a),9%,6%,15%,N
Digne,Aston Villa,DEF,2%,80%,£4.7m,Man City (H),11%,4%,15%,N
Dewsbury-Hall,Leicester,MID,2%,80%,£5.0m,Brighton (a),9%,6%,15%,N
Van Dijk,Liverpool,DEF,14%,90%,£6.5m,Everton (a),4%,11%,14%,N
Roerslev,Brentford,DEF,0%,10%,£4.4m,Leeds (H),9%,5%,14%,N
McTominay,Man Utd,MID,0%,40%,£4.9m,Arsenal (H),6%,8%,14%,N
Maitland-Niles,Southampton,MID,0%,20%,£4.8m,Wolves (a),8%,7%,14%,N
Hickey,Brentford,DEF,0%,90%,£5.0m,Leeds (H),9%,5%,14%,N
Cresswell,West Ham,DEF,2%,70%,£4.9m,Chelsea (a),11%,3%,14%,N
Chalobah,Chelsea,DEF,0%,20%,£4.8m,West Ham (H),6%,8%,14%,N
Cedric,Arsenal,DEF,0%,10%,£4.3m,Man Utd (a),10%,4%,14%,N
Xhaka,Arsenal,MID,3%,90%,£5.0m,Man Utd (a),6%,8%,14%,N
Zinchenko,Arsenal,DEF,17%,30%,£5.1m,Man Utd (a),10%,4%,14%,N
Collins,Wolves,DEF,1%,90%,£4.5m,Southampton (H),6%,8%,14%,N
Keita,Liverpool,MID,0%,30%,£4.8m,Everton (a),0%,13%,14%,N
Zanka,Brentford,DEF,1%,70%,£4.0m,Leeds (H),3%,11%,14%,N
Milivojevic,Crystal Palace,MID,1%,20%,£4.4m,Newcastle (a),7%,7%,14%,N
Djenepo,Southampton,MID,0%,40%,£5.0m,Wolves (a),7%,7%,14%,N
Francois,Fulham,MID,0%,10%,£4.4m,Spurs (a),5%,8%,13%,N
Perez,Leicester,MID,0%,10%,£4.9m,Brighton (a),0%,13%,13%,N
Castagne,Leicester,DEF,1%,80%,£4.5m,Brighton (a),7%,6%,13%,N
Palhinha,Fulham,MID,0%,90%,£5.0m,Spurs (a),5%,8%,13%,N
Forshaw,Leeds,MID,0%,20%,£4.5m,Brentford (a),8%,5%,13%,N
Firpo,Leeds,DEF,0%,10%,£4.5m,Brentford (a),9%,4%,13%,N
Soucek,West Ham,MID,1%,90%,£5.4m,Chelsea (a),5%,8%,13%,N
Bissouma,Spurs,MID,0%,50%,£4.9m,Fulham (H),7%,5%,13%,N
Walker,Man City,DEF,13%,70%,£5.1m,Aston Villa (a),9%,4%,12%,N
Patterson,Everton,DEF,7%,80%,£4.0m,Liverpool (H),8%,4%,12%,N
Perraud,Southampton,DEF,0%,60%,£4.5m,Wolves (a),8%,4%,12%,N
Young,Aston Villa,DEF,0%,10%,£4.4m,Man City (H),7%,5%,12%,N
Vinagre,Everton,DEF,0%,20%,£4.4m,Liverpool (H),7%,5%,12%,N
C.Doucoure,Crystal Palace,MID,0%,80%,£5.0m,Newcastle (a),7%,6%,12%,N
Dalot,Man Utd,DEF,5%,90%,£4.4m,Arsenal (H),9%,3%,12%,N
Sambi,Arsenal,MID,0%,80%,£4.4m,Man Utd (a),6%,7%,12%,N
Dendoncker,Aston Villa,MID,0%,10%,£4.9m,Man City (H),5%,8%,12%,N
Ake,Man City,DEF,1%,20%,£5.0m,Aston Villa (a),5%,8%,12%,N
Dias,Man City,DEF,11%,90%,£6.0m,Aston Villa (a),5%,8%,12%,N
Zemura,Bournemouth,DEF,0%,80%,£4.4m,Nott'm Forest (a),7%,5%,12%,N
Semedo,Wolves,DEF,0%,60%,£5.0m,Southampton (H),7%,5%,12%,N
Hughes,Crystal Palace,MID,0%,20%,£4.9m,Newcastle (a),8%,4%,12%,N
Malacia,Man Utd,DEF,4%,80%,£4.4m,Arsenal (H),8%,4%,12%,N
Walker-Peters,Southampton,DEF,1%,90%,£4.5m,Wolves (a),8%,4%,12%,N
Justin,Leicester,DEF,1%,80%,£4.4m,Brighton (a),7%,5%,12%,N
Rice,West Ham,MID,4%,90%,£4.9m,Chelsea (a),7%,5%,12%,N
Thiago Silva,Chelsea,DEF,6%,80%,£5.5m,West Ham (H),3%,8%,12%,N
Schar,Newcastle,DEF,8%,50%,£4.7m,Crystal Palace (H),4%,8%,12%,N
Jansson,Brentford,DEF,1%,40%,£4.4m,Leeds (H),6%,6%,12%,N
Koulibaly,Chelsea,DEF,8%,90%,£5.5m,West Ham (H),4%,8%,11%,N
Lerma,Bournemouth,MID,1%,90%,£5.0m,Nott'm Forest (a),7%,5%,11%,N
Mykolenko,Everton,DEF,0%,80%,£4.5m,Liverpool (H),7%,4%,11%,N
Onana,Everton,MID,0%,70%,£4.9m,Liverpool (H),5%,7%,11%,N
Akanji,Man City,DEF,0%,10%,£5.0m,Aston Villa (a),5%,7%,11%,N
Stones,Man City,DEF,2%,80%,£5.4m,Aston Villa (a),5%,7%,11%,N
Cash,Aston Villa,DEF,7%,90%,£4.7m,Man City (H),6%,5%,11%,N
Drameh,Leeds,DEF,0%,10%,£4.0m,Brentford (a),7%,4%,11%,N
Dunk,Brighton,DEF,6%,90%,£4.6m,Leicester (H),4%,7%,11%,N
Augustinsson,Aston Villa,DEF,0%,20%,£4.4m,Man City (H),8%,3%,11%,N
Gabriel,Arsenal,DEF,11%,90%,£5.1m,Man Utd (a),3%,8%,11%,N
Mee,Brentford,DEF,3%,90%,£4.6m,Leeds (H),3%,8%,11%,N
Webster,Brighton,DEF,1%,90%,£4.5m,Leicester (H),3%,8%,11%,N
Kouyate,Nott'm Forest,MID,0%,50%,£4.5m,Bournemouth (H),4%,7%,11%,N
Diallo,Southampton,MID,1%,80%,£4.4m,Wolves (a),5%,5%,11%,N
Douglas Luiz,Aston Villa,MID,0%,40%,£4.8m,Man City (H),5%,5%,11%,N
Fofana,Chelsea,DEF,2%,60%,£4.4m,West Ham (H),4%,7%,10%,N
Ndidi,Leicester,MID,0%,80%,£4.9m,Brighton (a),5%,6%,10%,N
Veltman,Brighton,DEF,5%,80%,£4.6m,Leicester (H),6%,5%,10%,N
Toti,Wolves,DEF,1%,20%,£4.0m,Southampton (H),3%,7%,10%,N
Robinson,Fulham,DEF,0%,80%,£4.5m,Spurs (a),7%,3%,10%,N
Tomiyasu,Arsenal,DEF,1%,30%,£4.3m,Man Utd (a),7%,3%,10%,N
Matip,Liverpool,DEF,1%,50%,£5.9m,Everton (a),5%,5%,10%,N
Kurzawa,Fulham,DEF,0%,20%,£4.5m,Spurs (a),7%,3%,10%,N
McKenna,Nott'm Forest,DEF,0%,90%,£4.5m,Bournemouth (H),5%,5%,10%,N
Sanchez,Spurs,DEF,1%,50%,£4.4m,Fulham (H),4%,6%,10%,N
Colwill,Brighton,DEF,0%,20%,£4.5m,Leicester (H),6%,4%,10%,N
Maguire,Man Utd,DEF,1%,30%,£4.7m,Arsenal (H),3%,6%,10%,N
Dier,Spurs,DEF,6%,90%,£5.0m,Fulham (H),4%,5%,9%,N
Struijk,Leeds,DEF,1%,90%,£4.5m,Brentford (a),5%,5%,9%,N
Gomez,Liverpool,DEF,1%,70%,£4.5m,Everton (a),5%,5%,9%,N
Reed,Fulham,MID,1%,80%,£4.5m,Spurs (a),6%,3%,9%,N
Martinez,Man Utd,DEF,5%,90%,£4.4m,Arsenal (H),4%,5%,9%,N
Adams,Leeds,MID,0%,80%,£5.0m,Brentford (a),4%,5%,9%,N
Ream,Fulham,DEF,0%,80%,£4.5m,Spurs (a),6%,2%,9%,N
Gueye,Everton,MID,0%,40%,£5.0m,Liverpool (H),5%,4%,9%,N
Llorente,Leeds,DEF,0%,90%,£4.5m,Brentford (a),3%,6%,9%,N
Downes,West Ham,MID,0%,10%,£4.4m,Chelsea (a),6%,3%,9%,N
Sergio Gomez,Man City,DEF,0%,30%,£4.5m,Aston Villa (a),0%,8%,8%,N
Van Hecke,Brighton,DEF,0%,10%,£4.0m,Leicester (H),3%,5%,8%,N
Botman,Newcastle,DEF,2%,50%,£4.5m,Crystal Palace (H),3%,5%,8%,N
Lyanco,Southampton,DEF,0%,30%,£4.5m,Wolves (a),3%,5%,8%,N
Faes,Leicester,DEF,0%,30%,£4.5m,Brighton (a),3%,5%,8%,N
Emerson,West Ham,DEF,1%,70%,£4.0m,Chelsea (a),3%,5%,8%,N
Davies,Everton,MID,0%,40%,£4.9m,Liverpool (H),3%,4%,8%,N
Thomas,Leicester,DEF,0%,40%,£4.3m,Brighton (a),5%,3%,8%,N
Kilman,Wolves,DEF,1%,90%,£4.5m,Southampton (H),5%,3%,8%,N
Soumare,Leicester,MID,1%,40%,£4.4m,Brighton (a),5%,3%,8%,N
Cooper,Leeds,DEF,0%,20%,£4.5m,Brentford (a),3%,5%,8%,N
Koch,Leeds,DEF,0%,90%,£4.5m,Brentford (a),3%,5%,8%,N
Boly,Nott'm Forest,DEF,0%,20%,£4.3m,Bournemouth (H),3%,4%,7%,N
Worrall,Nott'm Forest,DEF,0%,90%,£4.4m,Bournemouth (H),3%,4%,7%,N
Smith,Bournemouth,DEF,0%,80%,£4.4m,Nott'm Forest (a),4%,4%,7%,N
Senesi,Bournemouth,DEF,0%,40%,£4.5m,Nott'm Forest (a),3%,4%,7%,N
Keane,Everton,DEF,1%,70%,£4.3m,Liverpool (H),2%,5%,7%,N
Fredericks,Bournemouth,DEF,0%,30%,£4.4m,Nott'm Forest (a),4%,3%,7%,N
Lenglet,Spurs,DEF,0%,20%,£4.9m,Fulham (H),3%,4%,7%,N
Lascelles,Newcastle,DEF,0%,40%,£4.4m,Crystal Palace (H),3%,4%,7%,N
Bella-Kotchap,Southampton,DEF,0%,90%,£4.5m,Wolves (a),3%,4%,7%,N
Cook,Nott'm Forest,DEF,0%,70%,£4.5m,Bournemouth (H),2%,4%,7%,N
Varane,Man Utd,DEF,3%,80%,£4.8m,Arsenal (H),3%,4%,7%,N
